Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Boronia,34 Russell Cr,4,h,820000,S,Philip,8/07/2017,25,3155,4,2,4,719,200,1975,Knox City Council,-37.86434,145.25739,Eastern Metropolitan,9704
Box Hill,43 Rose St,5,h,2285000,S,Lindellas,8/07/2017,10.9,3128,5,3,2,803,,,Whitehorse City Council,-37.82148,145.1289,Eastern Metropolitan,4605
Braybrook,14 Enderby Ct,3,h,797000,S,Douglas,8/07/2017,8.6,3019,3,1,2,694,110,1960,Maribyrnong City Council,-37.79382,144.85107,Western Metropolitan,3589
Braybrook,10 Menzies St,5,h,760000,S,Biggin,8/07/2017,8.6,3019,5,2,2,622,,,Maribyrnong City Council,-37.78207,144.85342,Western Metropolitan,3589
Braybrook,1 Walker Pl,2,h,590000,S,hockingstuart,8/07/2017,8.6,3019,2,1,1,304,74,1950,Maribyrnong City Council,-37.78341,144.85574,Western Metropolitan,3589
Brighton,10/32 Outer Cr,3,u,1180000,VB,Buxton,8/07/2017,10.5,3186,3,2,2,0,,2011,Bayside City Council,-37.90542,144.99817,Southern Metropolitan,10579
Brighton East,1/3 Gleniffer Av,2,u,585000,PI,Buxton,8/07/2017,10.3,3187,2,1,1,0,82,1950,Bayside City Council,-37.93171,145.03041,Southern Metropolitan,6938
Brighton East,90 Thomas St,4,h,1580000,PI,Jellis,8/07/2017,10.3,3187,4,1,2,890,165,1970,Bayside City Council,-37.91053,145.02447,Southern Metropolitan,6938
Broadmeadows,2/52 Jacana Av,2,h,373000,S,Raine,8/07/2017,14,3047,,,,,,,Hume City Council,,,Northern Metropolitan,4294
Broadmeadows,8 Katandra Cr,3,h,460000,S,YPA,8/07/2017,14,3047,3,1,1,629,,,Hume City Council,-37.67197,144.91896,Northern Metropolitan,4294
Broadmeadows,48 Walsh St,3,h,386000,S,hockingstuart,8/07/2017,14,3047,3,1,1,341,71,1965,Hume City Council,-37.6886,144.92281,Northern Metropolitan,4294
Brooklyn,3/49 Stenhouse Av,2,u,515000,SP,hockingstuart,8/07/2017,6.4,3012,2,1,2,159,140,2012,Brimbank City Council,-37.82073,144.8447,Western Metropolitan,962
Brunswick,9 Blyth St,4,h,1515000,S,Jellis,8/07/2017,5.2,3056,4,2,2,236,194,1890,Moreland City Council,-37.76549,144.96366,Northern Metropolitan,11918
Brunswick,37 Fourth Av,3,h,1037000,S,Nelson,8/07/2017,5.2,3056,3,1,1,210,101,1996,Moreland City Council,-37.75746,144.95633,Northern Metropolitan,11918
Brunswick,6 Gregory St,3,h,1100000,PI,Jellis,8/07/2017,5.2,3056,3,1,1,193,,,Moreland City Council,-37.76418,144.95715,Northern Metropolitan,11918
Brunswick East,219 Glenlyon Rd,3,h,1330000,PI,Woodards,8/07/2017,4,3057,3,2,1,161,190,1890,Moreland City Council,-37.77289,144.97503,Northern Metropolitan,5533
Brunswick East,63 Harrison St,3,t,937000,SP,Jellis,8/07/2017,4,3057,3,2,1,110,121.8,2000,Moreland City Council,-37.76049,144.98065,Northern Metropolitan,5533
Brunswick East,302/218 Lygon St,1,u,290000,VB,Dingle,8/07/2017,4,3057,1,1,0,197,41,2012,Moreland City Council,-37.77165,144.97187,Northern Metropolitan,5533
Brunswick West,5/23 McLean St,2,t,612000,S,Jellis,8/07/2017,5.2,3055,,,,,,,Moreland City Council,,,Northern Metropolitan,7082
Bundoora,7/6 Di Palma Pl,3,t,716000,S,Barry,8/07/2017,12.1,3083,,,,,,,Banyule City Council,,,Northern Metropolitan,10175
Bundoora,12 Norwood Ct,3,h,730000,S,Barry,8/07/2017,12.1,3083,3,1,1,612,101,1960,Banyule City Council,-37.70602,145.05945,Northern Metropolitan,10175
Bundoora,71 Wallara Cr,3,h,660000,S,Buckingham,8/07/2017,12.1,3083,3,1,2,582,119,1970,Banyule City Council,-37.70301,145.06341,Northern Metropolitan,10175
Burwood,14 Cumming St,3,h,1530000,S,Buxton,8/07/2017,10.4,3125,3,1,2,695,,,Monash City Council,-37.85126,145.1132,Southern Metropolitan,5678
Burwood East,389 Blackburn Rd,3,h,1150000,S,Ray,8/07/2017,14.7,3151,3,2,2,668,140,1965,Whitehorse City Council,-37.85695,145.15144,Eastern Metropolitan,4048
Burwood East,1 Sartori St,4,h,1600000,S,Fletchers,8/07/2017,14.7,3151,4,2,2,592,260,2007,Whitehorse City Council,-37.84839,145.14299,Eastern Metropolitan,4048
Cairnlea,2 Gumleaf Ct,3,h,636000,S,YPA,8/07/2017,14.8,3023,3,2,2,585,,2000,Brimbank City Council,-37.75777,144.77974,Western Metropolitan,2674
Camberwell,5/26 Cornell St,2,u,755000,S,hockingstuart,8/07/2017,7.7,3124,2,1,1,92,82.6,1960,Boroondara City Council,-37.8401,145.09113,Southern Metropolitan,8920
Camberwell,1088 Toorak Rd,8,h,2200000,PI,Ross,8/07/2017,7.7,3124,8,8,4,650,,,Boroondara City Council,-37.84812,145.07414,Southern Metropolitan,8920
Carnegie,11 Beena Av,3,h,1530000,SP,Woodards,8/07/2017,10.1,3163,3,1,1,684,,,Glen Eira City Council,-37.8891,145.06337,Southern Metropolitan,7822
Carnegie,1/17 Cosy Gum Rd,2,u,750000,S,Thomson,8/07/2017,10.1,3163,2,1,2,0,85,1970,Glen Eira City Council,-37.88368,145.0515,Southern Metropolitan,7822
Carnegie,5/12 Judith St,1,u,286000,PI,Gary,8/07/2017,10.1,3163,1,1,1,314,45,1960,Glen Eira City Council,-37.90321,145.0555,Southern Metropolitan,7822
Carnegie,7/177 Oakleigh Rd,2,u,580010,SP,hockingstuart,8/07/2017,10.1,3163,2,1,1,0,72,1970,Glen Eira City Council,-37.9003,145.06342,Southern Metropolitan,7822
Carnegie,1/108 Truganini Rd,4,t,1250000,S,hockingstuart,8/07/2017,10.1,3163,4,3,2,326,223,2005,Glen Eira City Council,-37.89334,145.05463,Southern Metropolitan,7822
Caroline Springs,2 Cranwell Sq,3,t,430000,S,O'Brien,8/07/2017,14.8,3023,3,2,2,194,,2010,Melton City Council,-37.7253,144.7484,Western Metropolitan,7719
Caroline Springs,5/1 Dargi Grn,3,t,360000,SA,O'Brien,8/07/2017,14.8,3023,3,1,1,0,136.49,2009,Melton City Council,-37.70624,144.74042,Western Metropolitan,7719
Caroline Springs,20 Hawksbury Grn,4,h,740000,S,Barry,8/07/2017,14.8,3023,4,2,2,750,222,2008,Melton City Council,-37.7277,144.73422,Western Metropolitan,7719
Carrum Downs,40 Whimbrel Cr,4,h,647000,S,Harcourts,8/07/2017,34.9,3201,4,2,4,688,204,2002,Frankston City Council,-38.10984,145.17062,South-Eastern Metropolitan,8060
Caulfield South,3/180 Sycamore St,2,u,636500,S,Woodards,8/07/2017,8.7,3162,2,1,1,0,,1970,Glen Eira City Council,-37.89063,145.02609,Southern Metropolitan,5051
Chadstone,10 Gateway Cl,3,t,,S,Buxton,8/07/2017,11.7,3148,3,2,2,171,116,2001,Monash City Council,-37.88283,145.10839,Southern Metropolitan,3582
Chadstone,1/11 Hiscock St,3,t,930000,S,Ray,8/07/2017,11.7,3148,3,2,1,0,127,2011,Monash City Council,-37.88289,145.09871,Southern Metropolitan,3582
Chadstone,2/1 Woonah St,3,u,,S,Buxton,8/07/2017,11.7,3148,3,2,2,302,138,2004,Monash City Council,-37.87432,145.09438,Southern Metropolitan,3582
Chelsea,10 Dennington La,3,h,1000000,VB,hockingstuart,8/07/2017,27,3196,,,,,,,Kingston City Council,,,South-Eastern Metropolitan,3906
Clarinda,7 Camdale St,3,h,,W,Ray,8/07/2017,17.5,3169,3,1,1,686,,,Kingston City Council,-37.94374,145.11378,South-Eastern Metropolitan,2727
Clayton,6 Harlington St,3,h,1018000,S,C21,8/07/2017,16.7,3168,3,1,2,615,,,Monash City Council,-37.92063,145.11186,South-Eastern Metropolitan,5837
Coburg,251 Bell St,2,h,760000,S,Nelson,8/07/2017,6.7,3058,2,1,2,378,105,1920,Darebin City Council,-37.74011,144.95267,Northern Metropolitan,11204
Coburg,5A Hardwick St,2,t,876000,S,Woodards,8/07/2017,6.7,3058,2,2,1,134,100,2014,Darebin City Council,-37.74914,144.96826,Northern Metropolitan,11204
Coburg,82a Ross St,3,t,780000,S,Barry,8/07/2017,6.7,3058,,,,,,,Darebin City Council,,,Northern Metropolitan,11204
Coburg North,3 Alexander Av,1,h,867000,S,Raine,8/07/2017,6.7,3058,1,1,4,741,,,Darebin City Council,-37.73245,144.97103,Northern Metropolitan,3445
Collingwood,6/13 Alexander St,1,u,365000,SP,Jellis,8/07/2017,2,3066,1,1,0,0,46,1960,Yarra City Council,-37.79597,144.99108,Northern Metropolitan,4553
Collingwood,30 Alexander St,3,h,1297000,S,Dixon,8/07/2017,2,3066,3,2,0,186,137,1890,Yarra City Council,-37.79557,144.99158,Northern Metropolitan,4553
Collingwood,9/108 Cambridge St,2,u,,SN,Harrington,8/07/2017,2,3066,2,1,2,0,,,Yarra City Council,-37.80509,144.98565,Northern Metropolitan,4553
Collingwood,157 Hotham St,3,t,,SP,Jellis,8/07/2017,2,3066,3,3,1,,,,Yarra City Council,-37.79717,144.993,Northern Metropolitan,4553
Coolaroo,11 Nareen Av,4,h,515000,S,Barry,8/07/2017,17.4,3048,4,1,0,616,,,Hume City Council,-37.65879,144.9296,Northern Metropolitan,1124
Craigieburn,15 Kensley Cct,5,h,,PI,Barry,8/07/2017,20.6,3064,5,3,2,422,201,2010,Hume City Council,-37.57052,144.91899,Northern Metropolitan,15510
Cranbourne North,5 Aspera Pl,4,h,670000,S,Eview,8/07/2017,34.7,3977,4,2,2,612,,,Casey City Council,-38.07898,145.3165,South-Eastern Metropolitan,6464
Croydon,30 Allendale Rd,5,h,865000,PI,Ray,8/07/2017,23,3136,4,2,2,974,200,1975,Maroondah City Council,-37.79189,145.29661,Eastern Metropolitan,11925
Croydon,21 Dixon Av,4,h,760000,SP,Barry,8/07/2017,23,3136,4,2,2,815,140,1960,Maroondah City Council,-37.78393,145.29132,Eastern Metropolitan,11925
Croydon,434 Dorset Rd,3,h,725000,S,Stockdale,8/07/2017,23,3136,3,1,2,802,105,1980,Maroondah City Council,-37.81083,145.28792,Eastern Metropolitan,11925
Croydon,22 Glen Av,4,h,,PI,McGrath,8/07/2017,23,3136,,,,,,,Maroondah City Council,,,Eastern Metropolitan,11925
Croydon,5/15 Leigh Rd,2,t,480000,S,Ray,8/07/2017,23,3136,2,1,1,2040,,,Maroondah City Council,-37.80452,145.28579,Eastern Metropolitan,11925
Croydon,21 Taylors Rd,4,h,1120000,S,Barry,8/07/2017,23,3136,4,2,2,864,228,2008,Maroondah City Council,-37.80718,145.28581,Eastern Metropolitan,11925
Dandenong North,2 Chifley Cr,3,h,465000,S,Del,8/07/2017,24.7,3175,3,1,1,375,,,Greater Dandenong City Council,-37.9674,145.20552,South-Eastern Metropolitan,8322
Dandenong North,24 Crawford Av,4,h,614000,S,Hall,8/07/2017,24.7,3175,4,2,2,680,,,Greater Dandenong City Council,-37.967,145.19658,South-Eastern Metropolitan,8322
Dandenong North,13 Darwin St,3,h,,PI,C21,8/07/2017,24.7,3175,3,1,2,541,130,1970,Greater Dandenong City Council,-37.9594,145.20172,South-Eastern Metropolitan,8322
Dandenong North,7/160 Gladstone Rd,3,u,,SN,Biggin,8/07/2017,24.7,3175,3,2,1,0,125.6,1970,Greater Dandenong City Council,-37.95923,145.20572,South-Eastern Metropolitan,8322
Dandenong North,64 Waranga St,4,h,930000,S,Hodges,8/07/2017,24.7,3175,4,2,1,830,200,1980,Greater Dandenong City Council,-37.94264,145.21786,South-Eastern Metropolitan,8322
Deer Park,13 Cavendish Dr,3,h,557000,S,Barry,8/07/2017,14.8,3023,3,1,2,539,148,1985,Brimbank City Council,-37.76545,144.76458,Western Metropolitan,6388
Deer Park,12 Melissa Nk,5,h,771000,S,Stockdale,8/07/2017,14.8,3023,,,,,,,Brimbank City Council,,,Western Metropolitan,6388
Deer Park,13 Poole St,3,h,650000,PI,Barry,8/07/2017,14.8,3023,3,1,2,697,135,1955,Brimbank City Council,-37.77396,144.77229,Western Metropolitan,6388
Derrimut,1 Belvoir Gdns,4,h,750000,VB,Douglas,8/07/2017,14.7,3030,4,2,2,655,,,Brimbank City Council,-37.79571,144.76656,Western Metropolitan,2276
Dingley Village,2 Cormorant Pl,3,h,806000,S,Buxton,8/07/2017,22.2,3172,3,2,1,539,134,1968,Kingston City Council,-37.98086,145.11993,South-Eastern Metropolitan,3940
Dingley Village,4 Marjorie Av,3,h,892000,S,Buxton,8/07/2017,22.2,3172,3,1,3,564,,,Kingston City Council,-37.98186,145.13081,South-Eastern Metropolitan,3940
Dingley Village,54 Rhoda St,3,h,,S,Buxton,8/07/2017,22.2,3172,3,2,2,616,,,Kingston City Council,-37.98554,145.12643,South-Eastern Metropolitan,3940
Doncaster,67 Hampshire Rd,3,h,1345000,S,Jellis,8/07/2017,12.4,3108,3,3,3,823,,,Manningham City Council,-37.79461,145.14206,Eastern Metropolitan,9028
Doncaster,103 High St,4,h,1430000,S,Ray,8/07/2017,12.4,3108,4,2,2,736,,,Manningham City Council,-37.78101,145.1111,Eastern Metropolitan,9028
Doncaster,10 Margot Av,4,h,1663000,S,Philip,8/07/2017,12.4,3108,4,3,2,674,250,1982,Manningham City Council,-37.77102,145.13338,Eastern Metropolitan,9028
Doncaster East,20 Dianne St,4,h,1310000,S,Barry,8/07/2017,14.3,3109,4,3,2,706,200,1970,Manningham City Council,-37.79561,145.16268,Eastern Metropolitan,10999
Doncaster East,100 George St,4,h,,S,Jellis,8/07/2017,14.3,3109,4,3,1,653,28,1980,Manningham City Council,-37.78129,145.1512,Eastern Metropolitan,10999
Doncaster East,2 Monet Ct,3,h,1530000,PI,Barry,8/07/2017,14.3,3109,3,2,2,798,160,1978,Manningham City Council,-37.77655,145.15387,Eastern Metropolitan,10999
Doncaster East,26 Octantis St,4,h,1390000,S,Barry,8/07/2017,14.3,3109,4,3,2,664,,,Manningham City Council,-37.77813,145.16558,Eastern Metropolitan,10999
Doncaster East,8 Raven St,3,h,1423000,S,Ray,8/07/2017,14.3,3109,3,2,2,643,,,Manningham City Council,-37.79357,145.15318,Eastern Metropolitan,10999
Donvale,6/5 Sunray Ct,2,t,630000,PI,Sell,8/07/2017,16.1,3111,2,1,1,196,100,2000,Manningham City Council,-37.80103,145.17844,Eastern Metropolitan,4790
Doveton,3 Acacia St,3,h,,PI,Hall,8/07/2017,28.8,3177,3,1,4,826,,,Casey City Council,-37.98628,145.24298,South-Eastern Metropolitan,3533
Eaglemont,129 Banksia St,3,h,1300000,VB,Nelson,8/07/2017,8.9,3084,3,1,2,615,138,1950,Banyule City Council,-37.75825,145.05438,Eastern Metropolitan,1651
East Melbourne,515/133 Jolimont Rd,1,u,121000,PI,Dixon,8/07/2017,1.3,3002,,,,,,,Melbourne City Council,,,Northern Metropolitan,3040
East Melbourne,408/166 Wellington Pde,1,u,,W,Caine,8/07/2017,1.3,3002,1,1,0,0,,,Melbourne City Council,-37.81607,144.9845,Northern Metropolitan,3040
Edithvale,96 Berry Av,5,h,1260000,SP,O'Brien,8/07/2017,27,3196,5,6,3,900,178,1960,Kingston City Council,-38.04105,145.1216,South-Eastern Metropolitan,2546
Edithvale,22a Field Av,3,u,740000,PI,hockingstuart,8/07/2017,27,3196,,,,,,,Kingston City Council,,,South-Eastern Metropolitan,2546
Eltham,6/17 Silver St,3,h,655000,S,Barry,8/07/2017,18,3095,3,1,2,197,108,2009,Banyule City Council,-37.71613,145.13939,Eastern Metropolitan,6990
Eltham North,28 Weidlich Rd,4,h,792000,S,Barry,8/07/2017,18,3095,4,2,2,836,,,Banyule City Council,-37.70115,145.12855,Eastern Metropolitan,2346
Elwood,206/35 Ormond Rd,1,u,435000,S,Wilson,8/07/2017,7.2,3184,1,1,1,1192,44,2009,Port Phillip City Council,-37.88306,144.9841,Southern Metropolitan,8989
Elwood,10/4 Poets Gr,1,u,350000,VB,Chisholm,8/07/2017,7.2,3184,1,1,0,0,,1960,Port Phillip City Council,-37.88111,144.99054,Southern Metropolitan,8989
Epping,8 Efficient St,3,h,490000,SP,Ristic,8/07/2017,19.6,3076,3,2,2,375,155,2012,Whittlesea City Council,-37.62157,145.01049,Northern Metropolitan,10926
Epping,27 Hammond Dr,3,h,490000,SP,Ristic,8/07/2017,19.6,3076,3,1,1,597,,,Whittlesea City Council,-37.64166,145.02885,Northern Metropolitan,10926
Epping,6/7 Houston St,3,u,392250,S,Harcourts,8/07/2017,19.6,3076,3,1,1,227,101,,Whittlesea City Council,-37.64836,145.03139,Northern Metropolitan,10926
Epping,2/8 Zurzolo Tce,2,h,417500,S,Harcourts,8/07/2017,19.6,3076,2,1,1,157,102,2000,Whittlesea City Council,-37.64827,145.05317,Northern Metropolitan,10926
Essendon,20 Butler St,3,h,1000000,VB,Nelson,8/07/2017,7.5,3040,3,2,2,213,169,,Moonee Valley City Council,-37.74635,144.9229,Western Metropolitan,9264
Essendon,9/44 Fletcher St,1,u,310000,SP,Considine,8/07/2017,7.5,3040,1,1,1,0,,,Moonee Valley City Council,-37.75515,144.92114,Western Metropolitan,9264
Essendon,13 Gordon St,3,h,1398000,SP,Barry,8/07/2017,7.5,3040,3,2,1,445,182,1960,Moonee Valley City Council,-37.75621,144.93401,Western Metropolitan,9264
Ferntree Gully,3 Butlers Rd,3,h,,PN,Appleby,8/07/2017,24.8,3156,3,1,4,806,133,1960,Knox City Council,-37.88541,145.29833,Eastern Metropolitan,10788
Ferntree Gully,2 Clendon Rd,3,t,664000,S,Ray,8/07/2017,24.8,3156,3,2,1,219,138,2010,Knox City Council,-37.8798,145.2775,Eastern Metropolitan,10788
Ferntree Gully,2 Francis Cr,3,t,1900000,PI,LJ,8/07/2017,24.8,3156,3,2,2,1869,502,,Knox City Council,-37.88096,145.29371,Eastern Metropolitan,10788
Fitzroy,502/416 Gore St,2,u,790000,S,Nelson,8/07/2017,2.1,3065,2,1,2,6367,75,1930,Yarra City Council,-37.7967,144.98363,Northern Metropolitan,5825
Fitzroy,604/353 Napier St,2,u,830000,S,Jellis,8/07/2017,2.1,3065,2,2,1,4421,84,2011,Yarra City Council,-37.79721,144.98073,Northern Metropolitan,5825
Fitzroy,307/185 Rose St,1,u,456000,SP,hockingstuart,8/07/2017,2.1,3065,1,1,1,0,51,2011,Yarra City Council,-37.79636,144.98394,Northern Metropolitan,5825
Flemington,14 Clarence St,2,h,1000000,SP,Nelson,8/07/2017,3.4,3031,2,1,0,132,,,Melbourne City Council,-37.78696,144.92556,Northern Metropolitan,3593
Footscray,7/37 Ballarat Rd,2,t,600000,S,Compton,8/07/2017,5.1,3011,,,,,,,Maribyrnong City Council,,,Western Metropolitan,7570
Footscray,8/5 Saltriver Pl,3,t,800000,S,Village,8/07/2017,5.1,3011,3,2,2,0,,,Maribyrnong City Council,-37.80196,144.90783,Western Metropolitan,7570
Frankston,87 Aquarius Dr,3,h,565000,S,O'Brien,8/07/2017,38,3199,3,1,2,713,155,1980,Frankston City Council,-38.16483,145.16383,South-Eastern Metropolitan,17055
Frankston South,14 Hoadley Av,3,h,810000,S,Ash,8/07/2017,38,3199,3,1,2,835,118,1960,Frankston City Council,-38.15983,145.11351,South-Eastern Metropolitan,7566
Gladstone Park,19 Osborne Av,4,h,749000,SP,Barry,8/07/2017,12.9,3043,4,2,2,561,160,1970,Hume City Council,-37.68269,144.88601,Western Metropolitan,3285
Glen Iris,13/11 Belmont Av,1,u,260000,PI,Woodards,8/07/2017,7.3,3146,1,1,1,0,38,1950,Boroondara City Council,-37.8574,145.04795,Southern Metropolitan,10412
Glen Iris,1/15 Belmont Av,1,u,330000,SP,Thomson,8/07/2017,7.3,3146,1,1,1,0,44,1960,Boroondara City Council,-37.85702,145.04801,Southern Metropolitan,10412
Glen Iris,11/62 Edgar St N,2,u,501000,S,Jellis,8/07/2017,7.3,3146,2,1,1,2015,77,1960,Boroondara City Council,-37.85019,145.0465,Southern Metropolitan,10412
Glen Waverley,15 Alimar Rd,3,h,1908000,S,Barry,8/07/2017,16.7,3150,3,1,2,778,,,Monash City Council,-37.88462,145.17315,Eastern Metropolitan,15321
Glen Waverley,53 Botanic Dr,3,h,,SN,JY,8/07/2017,16.7,3150,3,1,2,1,102,1960,Monash City Council,-37.89464,145.166,Eastern Metropolitan,15321
Glen Waverley,12 Crocus Cr,3,h,,PI,Biggin,8/07/2017,16.7,3150,3,1,2,707,,,Monash City Council,-37.89991,145.16408,Eastern Metropolitan,15321
Glen Waverley,1 Dorset St,3,h,1070000,S,Harcourts,8/07/2017,16.7,3150,3,2,1,839,116,1970,Monash City Council,-37.89813,145.14652,Eastern Metropolitan,15321
Glen Waverley,2/17 Stanton Ct,4,u,,SN,Harcourts,8/07/2017,16.7,3150,4,2,2,428,220,1980,Monash City Council,-37.88438,145.18908,Eastern Metropolitan,15321
Glen Waverley,1/1 Summit Cr,3,u,,PI,Ray,8/07/2017,16.7,3150,3,1,1,312,120,1970,Monash City Council,-37.88684,145.1729,Eastern Metropolitan,15321
Glenroy,58 Bindi St,4,h,700000,S,RW,8/07/2017,11.2,3046,4,2,1,655,82,1950,Moreland City Council,-37.69558,144.93223,Northern Metropolitan,8870
Glenroy,34 Glenroy Rd,3,h,805000,S,Raine,8/07/2017,11.2,3046,3,1,2,676,,,Moreland City Council,-37.70691,144.93498,Northern Metropolitan,8870
Glenroy,155 Hilton St,3,h,721000,S,Barry,8/07/2017,11.2,3046,3,1,1,600,,,Moreland City Council,-37.70067,144.92689,Northern Metropolitan,8870
Glenroy,109 Paget Av,3,h,,SP,Barry,8/07/2017,11.2,3046,3,1,2,565,100,1960,Moreland City Council,-37.6971,144.92566,Northern Metropolitan,8870
Glenroy,4/71 Station Rd,2,t,400000,VB,Nelson,8/07/2017,11.2,3046,2,1,1,102,70,2012,Moreland City Council,-37.71122,144.91863,Northern Metropolitan,8870
Glenroy,270 West St,2,h,675000,S,Eview,8/07/2017,11.2,3046,2,2,1,248,99,2011,Moreland City Council,-37.69705,144.94219,Northern Metropolitan,8870
Glenroy,3/8 York St,4,t,656000,S,Barry,8/07/2017,11.2,3046,4,2,2,228,,2003,Moreland City Council,-37.7046,144.91041,Northern Metropolitan,8870
Greensborough,53 Narbethong Dr,3,h,866000,S,hockingstuart,8/07/2017,16.1,3088,3,2,2,743,147,1980,Banyule City Council,-37.71733,145.09622,Northern Metropolitan,8524
Greensborough,1/11 Stubley Ct,3,t,,SP,Barry,8/07/2017,16.1,3088,,,,,,,Banyule City Council,,,Northern Metropolitan,8524
Greensborough,8 Vabiro Ct,3,h,,SP,Buckingham,8/07/2017,16.1,3088,3,2,2,603,125.51,1970,Banyule City Council,-37.69129,145.09532,Northern Metropolitan,8524
Greensborough,14 Wolangi Ct,4,h,1028000,S,Morrison,8/07/2017,16.1,3088,4,3,4,925,,,Banyule City Council,-37.69261,145.1105,Northern Metropolitan,8524
Greenvale,1/29 Elgin Rd,3,t,495000,S,Nelson,8/07/2017,20.4,3059,,,,,,,Hume City Council,,,Northern Metropolitan,4864
Greenvale,23 Fraserburgh Cr,4,h,783000,S,Barry,8/07/2017,20.4,3059,4,2,2,750,,,Hume City Council,-37.64163,144.90493,Northern Metropolitan,4864
Greenvale,4 Lysterfield Dr,5,h,800000,SP,LJ,8/07/2017,20.4,3059,5,3,2,544,332,2008,Hume City Council,-37.61079,144.90823,Northern Metropolitan,4864
Hadfield,9 Bond St,3,h,735000,S,Eview,8/07/2017,11.2,3046,3,1,1,626,122,1950,Moreland City Council,-37.71425,144.95013,Northern Metropolitan,2606
Hadfield,3A Neil St,2,t,595000,S,Eview,8/07/2017,11.2,3046,2,2,1,201,111,2005,Moreland City Council,-37.71147,144.93927,Northern Metropolitan,2606
Hadfield,28A North St,2,t,539000,S,Barry,8/07/2017,11.2,3046,2,2,2,160,,,Moreland City Council,-37.70522,144.94702,Northern Metropolitan,2606
Hallam,87 Frawley Rd,3,h,1300000,SP,Eview,8/07/2017,32.3,3803,3,2,2,1801,,,Casey City Council,-38.00128,145.27213,South-Eastern Metropolitan,3728
Hampton,7/4 Small St,1,u,580000,SP,Hodges,8/07/2017,13.8,3188,1,2,1,486,,2012,Bayside City Council,-37.93953,145.00096,Southern Metropolitan,5454
Hampton East,3/8 Eldon Ct,2,t,771000,S,McGrath,8/07/2017,13.8,3188,2,1,1,0,99,1992,Bayside City Council,-37.94083,145.03682,Southern Metropolitan,2356
Hampton Park,75 Pound Rd,4,h,622000,SP,FN,8/07/2017,33.3,3976,4,2,2,654,,1989,Casey City Council,-38.02683,145.25871,South-Eastern Metropolitan,8256
